learning_ease_score,instructiveness_score,cognitive_load_score,example_quality_score,scaffolding_score,bloom_taxonomy_level,explanation_quality,code_id
9,5,6,7,7,Create (Yaratma) - Seviye 6,7,428
3,8,5,6,6,Create (Yaratma) - Seviye 6,7,429
6,5,6,8,6,Create (Yaratma) - Seviye 6,8,430
9,5,3,6,6,Create (Yaratma) - Seviye 6,5,431
5,10,3,6,7,Create (Yaratma) - Seviye 6,5,432
7,7,5,8,8,Evaluate (Değerlendirme) - Seviye 5,8,433
5,7,3,7,8,Evaluate (Değerlendirme) - Seviye 5,8,434
6,7,3,8,8,Evaluate (Değerlendirme) - Seviye 5,8,435
8,8,2,9,8,Evaluate (Değerlendirme) - Seviye 5,8,436
8,7,4,7,7,Evaluate (Değerlendirme) - Seviye 5,6,437
5,6,1,8,8,Evaluate (Değerlendirme) - Seviye 5,8,438
7,8,3,7,7,Create (Yaratma) - Seviye 6,6,439
6,5,2,7,5,Create (Yaratma) - Seviye 6,5,440
6,6,2,7,5,Create (Yaratma) - Seviye 6,5,441
4,6,4,5,7,Create (Yaratma) - Seviye 6,6,442
5,7,1,6,8,Create (Yaratma) - Seviye 6,8,443
6,7,3,5,6,Create (Yaratma) - Seviye 6,5,444
7,8,1,7,7,Understand (Anlama) - Seviye 2,6,445
4,7,6,8,6,Understand (Anlama) - Seviye 2,6,446
6,4,2,8,7,Understand (Anlama) - Seviye 2,9,447
6,10,6,6,6,Understand (Anlama) - Seviye 2,6,448
4,9,2,7,7,Understand (Anlama) - Seviye 2,7,449
5,6,3,8,8,Understand (Anlama) - Seviye 2,8,450
6,6,3,7,7,Analyze (Analiz) - Seviye 4,8,451
7,5,5,8,8,Analyze (Analiz) - Seviye 4,6,452
5,8,6,8,7,Analyze (Analiz) - Seviye 4,6,453
6,7,2,7,7,Analyze (Analiz) - Seviye 4,8,454
6,3,1,6,6,Analyze (Analiz) - Seviye 4,8,455
6,6,6,6,8,Analyze (Analiz) - Seviye 4,7,456
7,8,10,7,6,Evaluate (Değerlendirme) - Seviye 5,7,457
7,7,3,8,8,Evaluate (Değerlendirme) - Seviye 5,7,458
8,6,2,7,8,Evaluate (Değerlendirme) - Seviye 5,8,459
7,5,5,7,9,Evaluate (Değerlendirme) - Seviye 5,8,460
8,7,6,6,7,Evaluate (Değerlendirme) - Seviye 5,7,461
6,7,4,7,8,Evaluate (Değerlendirme) - Seviye 5,7,462
6,5,5,6,6,Evaluate (Değerlendirme) - Seviye 5,6,463
6,4,3,7,7,Evaluate (Değerlendirme) - Seviye 5,9,464
6,7,2,6,7,Evaluate (Değerlendirme) - Seviye 5,7,465
4,9,5,7,7,Evaluate (Değerlendirme) - Seviye 5,7,466
10,8,3,7,8,Evaluate (Değerlendirme) - Seviye 5,8,467
6,6,2,8,9,Evaluate (Değerlendirme) - Seviye 5,7,468
7,3,4,8,8,Analyze (Analiz) - Seviye 4,6,469
7,9,2,7,9,Analyze (Analiz) - Seviye 4,9,470
9,8,4,6,8,Analyze (Analiz) - Seviye 4,8,471
7,5,8,7,9,Analyze (Analiz) - Seviye 4,7,472
6,5,4,6,6,Analyze (Analiz) - Seviye 4,8,473
6,3,2,9,7,Analyze (Analiz) - Seviye 4,8,474
4,9,3,7,7,Evaluate (Değerlendirme) - Seviye 5,6,475
4,6,5,7,7,Evaluate (Değerlendirme) - Seviye 5,7,476
8,9,3,7,7,Evaluate (Değerlendirme) - Seviye 5,8,477
6,7,4,6,8,Evaluate (Değerlendirme) - Seviye 5,6,478
5,8,2,9,9,Evaluate (Değerlendirme) - Seviye 5,8,479
7,5,3,6,7,Evaluate (Değerlendirme) - Seviye 5,6,480
3,9,3,7,9,Apply (Uygulama) - Seviye 3,9,481
5,6,2,7,6,Apply (Uygulama) - Seviye 3,6,482
7,5,3,8,8,Apply (Uygulama) - Seviye 3,8,483
6,4,4,6,6,Apply (Uygulama) - Seviye 3,6,484
8,5,6,8,8,Apply (Uygulama) - Seviye 3,7,485
10,8,5,6,7,Apply (Uygulama) - Seviye 3,6,486
5,6,4,6,6,Apply (Uygulama) - Seviye 3,8,487
7,4,5,6,6,Apply (Uygulama) - Seviye 3,6,488
9,9,5,6,6,Apply (Uygulama) - Seviye 3,6,489
8,10,5,8,6,Apply (Uygulama) - Seviye 3,8,490
8,8,1,9,8,Apply (Uygulama) - Seviye 3,7,491
5,8,4,7,8,Apply (Uygulama) - Seviye 3,6,492
6,8,3,8,8,Evaluate (Değerlendirme) - Seviye 5,8,493
9,7,3,6,7,Evaluate (Değerlendirme) - Seviye 5,8,494
9,7,4,6,7,Evaluate (Değerlendirme) - Seviye 5,8,495
6,8,1,7,7,Evaluate (Değerlendirme) - Seviye 5,8,496
7,6,3,8,6,Evaluate (Değerlendirme) - Seviye 5,6,497
6,2,3,8,8,Evaluate (Değerlendirme) - Seviye 5,7,498
7,6,4,7,7,Analyze (Analiz) - Seviye 4,8,499
4,6,4,8,8,Analyze (Analiz) - Seviye 4,6,500
8,4,5,7,7,Analyze (Analiz) - Seviye 4,6,501
6,9,5,7,7,Analyze (Analiz) - Seviye 4,7,502
6,5,6,7,7,Analyze (Analiz) - Seviye 4,9,503
10,6,5,7,7,Analyze (Analiz) - Seviye 4,8,504
3,6,4,7,8,Analyze (Analiz) - Seviye 4,6,505
9,5,3,8,7,Analyze (Analiz) - Seviye 4,7,506
7,9,2,8,7,Analyze (Analiz) - Seviye 4,8,507
10,4,3,6,8,Analyze (Analiz) - Seviye 4,8,508
8,9,5,6,8,Analyze (Analiz) - Seviye 4,8,509
9,8,4,6,6,Analyze (Analiz) - Seviye 4,6,510
7,9,2,6,5,Create (Yaratma) - Seviye 6,6,511
10,4,5,5,6,Create (Yaratma) - Seviye 6,7,512
5,7,1,6,5,Create (Yaratma) - Seviye 6,7,513
8,7,4,5,7,Create (Yaratma) - Seviye 6,7,514
9,6,4,5,6,Create (Yaratma) - Seviye 6,5,515
10,5,3,5,6,Create (Yaratma) - Seviye 6,5,516
8,5,6,8,7,Evaluate (Değerlendirme) - Seviye 5,9,517
8,5,4,8,6,Evaluate (Değerlendirme) - Seviye 5,7,518
9,6,3,8,7,Evaluate (Değerlendirme) - Seviye 5,6,519
2,9,4,6,6,Evaluate (Değerlendirme) - Seviye 5,7,520
5,5,6,8,6,Evaluate (Değerlendirme) - Seviye 5,6,521
5,9,5,7,8,Evaluate (Değerlendirme) - Seviye 5,8,522
7,10,2,7,7,Analyze (Analiz) - Seviye 4,8,523
5,9,7,7,7,Analyze (Analiz) - Seviye 4,9,524
7,9,4,7,8,Analyze (Analiz) - Seviye 4,6,525
8,8,1,7,8,Analyze (Analiz) - Seviye 4,6,526
4,4,3,6,6,Analyze (Analiz) - Seviye 4,8,527
6,5,6,8,6,Analyze (Analiz) - Seviye 4,8,528
6,6,3,6,6,Analyze (Analiz) - Seviye 4,8,529
6,7,1,6,7,Analyze (Analiz) - Seviye 4,7,530
4,4,2,7,8,Analyze (Analiz) - Seviye 4,9,531
7,8,4,7,6,Analyze (Analiz) - Seviye 4,8,532
10,4,2,7,6,Analyze (Analiz) - Seviye 4,7,533
5,10,6,6,7,Analyze (Analiz) - Seviye 4,7,534
7,8,4,6,8,Apply (Uygulama) - Seviye 3,8,535
6,10,1,8,6,Apply (Uygulama) - Seviye 3,8,536
6,8,5,8,6,Apply (Uygulama) - Seviye 3,6,537
2,8,4,7,6,Apply (Uygulama) - Seviye 3,8,538
6,10,2,8,7,Apply (Uygulama) - Seviye 3,6,539
7,4,3,8,7,Apply (Uygulama) - Seviye 3,7,540
8,7,6,7,9,Analyze (Analiz) - Seviye 4,9,541
9,8,4,7,8,Analyze (Analiz) - Seviye 4,7,542
4,4,4,7,7,Analyze (Analiz) - Seviye 4,9,543
9,8,2,8,7,Analyze (Analiz) - Seviye 4,8,544
6,6,2,8,8,Analyze (Analiz) - Seviye 4,9,545
10,9,3,7,7,Analyze (Analiz) - Seviye 4,8,546
8,7,2,6,7,Analyze (Analiz) - Seviye 4,8,547
6,7,4,8,8,Analyze (Analiz) - Seviye 4,8,548
4,9,1,7,7,Analyze (Analiz) - Seviye 4,6,549
2,6,4,7,8,Analyze (Analiz) - Seviye 4,7,550
8,5,1,9,7,Analyze (Analiz) - Seviye 4,7,551
6,8,7,8,8,Analyze (Analiz) - Seviye 4,8,552
6,7,4,7,8,Understand (Anlama) - Seviye 2,6,553
6,8,3,7,6,Understand (Anlama) - Seviye 2,7,554
4,8,4,6,6,Understand (Anlama) - Seviye 2,8,555
3,8,1,6,6,Understand (Anlama) - Seviye 2,8,556
5,6,7,7,8,Understand (Anlama) - Seviye 2,8,557
10,7,2,7,8,Understand (Anlama) - Seviye 2,6,558
6,7,6,5,6,Create (Yaratma) - Seviye 6,7,559
7,8,6,6,6,Create (Yaratma) - Seviye 6,5,560
4,7,8,5,5,Create (Yaratma) - Seviye 6,5,561
7,7,2,5,6,Create (Yaratma) - Seviye 6,6,562
9,9,4,7,5,Create (Yaratma) - Seviye 6,5,563
8,6,6,5,5,Create (Yaratma) - Seviye 6,5,564
6,5,2,8,7,Apply (Uygulama) - Seviye 3,7,565
5,7,2,9,8,Apply (Uygulama) - Seviye 3,9,566
6,9,5,8,8,Apply (Uygulama) - Seviye 3,7,567
9,5,5,7,6,Apply (Uygulama) - Seviye 3,7,568
5,10,4,6,6,Apply (Uygulama) - Seviye 3,6,569
8,4,3,6,6,Apply (Uygulama) - Seviye 3,8,570
8,5,3,8,7,Apply (Uygulama) - Seviye 3,7,571
7,3,4,7,8,Apply (Uygulama) - Seviye 3,8,572
8,4,3,7,8,Apply (Uygulama) - Seviye 3,6,573
8,8,4,6,6,Apply (Uygulama) - Seviye 3,8,574
7,6,3,8,9,Apply (Uygulama) - Seviye 3,7,575
5,7,4,8,9,Apply (Uygulama) - Seviye 3,8,576
5,7,4,8,8,Apply (Uygulama) - Seviye 3,8,577
10,6,3,7,7,Apply (Uygulama) - Seviye 3,8,578
4,8,5,8,7,Apply (Uygulama) - Seviye 3,8,579
8,5,5,7,7,Apply (Uygulama) - Seviye 3,6,580
6,9,4,8,9,Apply (Uygulama) - Seviye 3,7,581
9,8,2,7,6,Apply (Uygulama) - Seviye 3,7,582
8,9,5,7,7,Apply (Uygulama) - Seviye 3,7,583
7,8,3,6,8,Apply (Uygulama) - Seviye 3,8,584
5,7,4,8,6,Apply (Uygulama) - Seviye 3,7,585
7,4,2,7,9,Apply (Uygulama) - Seviye 3,9,586
6,10,7,6,7,Apply (Uygulama) - Seviye 3,6,587
9,4,1,8,8,Apply (Uygulama) - Seviye 3,6,588
3,8,2,6,6,Understand (Anlama) - Seviye 2,7,589
6,6,3,8,7,Understand (Anlama) - Seviye 2,7,590
7,7,4,8,8,Understand (Anlama) - Seviye 2,9,591
7,9,1,8,8,Understand (Anlama) - Seviye 2,8,592
6,6,1,6,6,Understand (Anlama) - Seviye 2,6,593
7,7,4,8,7,Understand (Anlama) - Seviye 2,8,594
9,8,3,8,7,Evaluate (Değerlendirme) - Seviye 5,8,595
5,4,4,7,7,Evaluate (Değerlendirme) - Seviye 5,8,596
6,7,3,8,7,Evaluate (Değerlendirme) - Seviye 5,7,597
6,7,2,8,7,Evaluate (Değerlendirme) - Seviye 5,8,598
6,7,3,7,8,Evaluate (Değerlendirme) - Seviye 5,7,599
7,5,2,8,7,Evaluate (Değerlendirme) - Seviye 5,7,600
7,7,1,7,6,Understand (Anlama) - Seviye 2,6,601
7,5,4,8,6,Understand (Anlama) - Seviye 2,6,602
6,6,2,6,8,Understand (Anlama) - Seviye 2,7,603
7,6,6,7,6,Understand (Anlama) - Seviye 2,8,604
7,6,3,7,7,Understand (Anlama) - Seviye 2,6,605
6,9,4,8,8,Understand (Anlama) - Seviye 2,9,606
4,10,5,6,7,Understand (Anlama) - Seviye 2,6,607
4,6,4,8,7,Understand (Anlama) - Seviye 2,9,608
6,4,5,7,6,Understand (Anlama) - Seviye 2,6,609
5,7,3,9,8,Understand (Anlama) - Seviye 2,9,610
9,7,5,9,7,Understand (Anlama) - Seviye 2,8,611
4,5,6,8,7,Understand (Anlama) - Seviye 2,7,612
7,3,2,6,7,Apply (Uygulama) - Seviye 3,7,613
6,7,5,7,6,Apply (Uygulama) - Seviye 3,6,614
3,6,5,8,7,Apply (Uygulama) - Seviye 3,7,615
7,6,3,8,9,Apply (Uygulama) - Seviye 3,8,616
6,9,1,8,6,Apply (Uygulama) - Seviye 3,8,617
7,9,2,7,7,Apply (Uygulama) - Seviye 3,7,618
6,10,4,7,8,Analyze (Analiz) - Seviye 4,6,619
6,9,4,6,7,Analyze (Analiz) - Seviye 4,6,620
9,8,5,8,7,Analyze (Analiz) - Seviye 4,8,621
4,6,2,6,8,Analyze (Analiz) - Seviye 4,8,622
3,6,5,7,9,Analyze (Analiz) - Seviye 4,9,623
4,8,2,6,6,Analyze (Analiz) - Seviye 4,7,624
6,9,4,7,7,Apply (Uygulama) - Seviye 3,8,625
8,6,4,7,6,Apply (Uygulama) - Seviye 3,6,626
9,6,2,7,9,Apply (Uygulama) - Seviye 3,7,627
7,8,6,7,6,Apply (Uygulama) - Seviye 3,8,628
9,10,2,8,9,Apply (Uygulama) - Seviye 3,8,629
6,10,2,7,8,Apply (Uygulama) - Seviye 3,7,630
7,3,3,9,7,Analyze (Analiz) - Seviye 4,7,631
7,7,4,8,8,Analyze (Analiz) - Seviye 4,8,632
6,6,5,6,8,Analyze (Analiz) - Seviye 4,8,633
7,7,3,6,8,Analyze (Analiz) - Seviye 4,6,634
6,10,1,8,8,Analyze (Analiz) - Seviye 4,8,635
6,5,3,6,7,Analyze (Analiz) - Seviye 4,6,636
2,5,5,8,6,Analyze (Analiz) - Seviye 4,8,637
5,7,5,7,9,Analyze (Analiz) - Seviye 4,8,638
6,8,8,6,8,Analyze (Analiz) - Seviye 4,8,639
7,8,4,8,7,Analyze (Analiz) - Seviye 4,8,640
7,9,3,6,7,Analyze (Analiz) - Seviye 4,8,641
7,5,3,6,6,Analyze (Analiz) - Seviye 4,7,642
5,4,3,8,8,Evaluate (Değerlendirme) - Seviye 5,6,643
3,6,3,7,6,Evaluate (Değerlendirme) - Seviye 5,6,644
3,9,3,7,7,Evaluate (Değerlendirme) - Seviye 5,8,645
6,5,6,8,8,Evaluate (Değerlendirme) - Seviye 5,7,646
5,8,3,6,6,Evaluate (Değerlendirme) - Seviye 5,8,647
5,9,5,8,7,Evaluate (Değerlendirme) - Seviye 5,6,648
7,9,2,6,6,Apply (Uygulama) - Seviye 3,8,649
6,6,1,8,8,Apply (Uygulama) - Seviye 3,7,650
6,9,4,7,8,Apply (Uygulama) - Seviye 3,7,651
10,5,6,8,6,Apply (Uygulama) - Seviye 3,7,652
9,7,3,6,6,Apply (Uygulama) - Seviye 3,8,653
7,8,6,7,6,Apply (Uygulama) - Seviye 3,7,654
6,6,4,7,8,Understand (Anlama) - Seviye 2,7,655
5,9,3,6,6,Understand (Anlama) - Seviye 2,8,656
7,7,4,6,7,Understand (Anlama) - Seviye 2,7,657
8,6,3,7,7,Understand (Anlama) - Seviye 2,8,658
6,6,2,8,8,Understand (Anlama) - Seviye 2,6,659
7,10,3,8,6,Understand (Anlama) - Seviye 2,8,660
7,10,3,7,7,Create (Yaratma) - Seviye 6,7,661
7,9,1,7,6,Create (Yaratma) - Seviye 6,6,662
4,1,5,6,7,Create (Yaratma) - Seviye 6,5,663
5,7,3,5,7,Create (Yaratma) - Seviye 6,5,664
5,6,3,6,7,Create (Yaratma) - Seviye 6,6,665
8,10,3,7,6,Create (Yaratma) - Seviye 6,8,666
9,4,5,8,7,Analyze (Analiz) - Seviye 4,7,667
7,4,6,7,6,Analyze (Analiz) - Seviye 4,7,668
5,9,3,7,6,Analyze (Analiz) - Seviye 4,6,669
8,6,5,8,6,Analyze (Analiz) - Seviye 4,7,670
10,8,4,7,9,Analyze (Analiz) - Seviye 4,9,671
5,7,5,8,9,Analyze (Analiz) - Seviye 4,9,672
6,8,3,7,8,Apply (Uygulama) - Seviye 3,8,673
3,5,5,8,9,Apply (Uygulama) - Seviye 3,7,674
5,3,4,7,8,Apply (Uygulama) - Seviye 3,7,675
7,10,1,6,7,Apply (Uygulama) - Seviye 3,6,676
7,6,4,6,6,Apply (Uygulama) - Seviye 3,6,677
6,4,3,8,8,Apply (Uygulama) - Seviye 3,6,678
5,6,2,7,9,Analyze (Analiz) - Seviye 4,9,679
4,6,5,8,9,Analyze (Analiz) - Seviye 4,7,680
4,8,4,8,8,Analyze (Analiz) - Seviye 4,7,681
9,7,3,7,7,Analyze (Analiz) - Seviye 4,6,682
5,5,5,7,8,Analyze (Analiz) - Seviye 4,7,683
6,8,2,8,8,Analyze (Analiz) - Seviye 4,7,684
7,3,3,6,8,Understand (Anlama) - Seviye 2,8,685
8,6,4,6,8,Understand (Anlama) - Seviye 2,7,686
6,3,4,7,8,Understand (Anlama) - Seviye 2,8,687
8,7,3,8,8,Understand (Anlama) - Seviye 2,7,688
5,7,6,7,6,Understand (Anlama) - Seviye 2,7,689
7,6,4,7,6,Understand (Anlama) - Seviye 2,7,690
8,3,7,7,6,Understand (Anlama) - Seviye 2,6,691
7,6,4,8,6,Understand (Anlama) - Seviye 2,8,692
4,7,5,7,6,Understand (Anlama) - Seviye 2,7,693
6,8,2,6,7,Understand (Anlama) - Seviye 2,6,694
8,8,5,6,6,Understand (Anlama) - Seviye 2,8,695
8,7,3,6,7,Understand (Anlama) - Seviye 2,7,696
2,7,5,8,9,Apply (Uygulama) - Seviye 3,8,697
3,9,2,6,6,Apply (Uygulama) - Seviye 3,6,698
5,7,2,8,7,Apply (Uygulama) - Seviye 3,7,699
3,7,3,6,7,Apply (Uygulama) - Seviye 3,7,700
6,6,5,8,8,Apply (Uygulama) - Seviye 3,9,701
8,3,2,7,7,Apply (Uygulama) - Seviye 3,8,702
6,9,4,8,7,Analyze (Analiz) - Seviye 4,6,703
4,4,5,8,7,Analyze (Analiz) - Seviye 4,7,704
9,6,2,9,9,Analyze (Analiz) - Seviye 4,7,705
7,7,6,6,6,Analyze (Analiz) - Seviye 4,7,706
7,6,5,8,8,Analyze (Analiz) - Seviye 4,8,707
7,5,5,8,9,Analyze (Analiz) - Seviye 4,7,708
7,8,2,6,7,Apply (Uygulama) - Seviye 3,6,709
9,5,5,6,8,Apply (Uygulama) - Seviye 3,8,710
4,4,4,7,7,Apply (Uygulama) - Seviye 3,6,711
7,8,4,6,6,Apply (Uygulama) - Seviye 3,7,712
5,6,2,6,6,Apply (Uygulama) - Seviye 3,8,713
5,6,5,6,7,Apply (Uygulama) - Seviye 3,7,714
8,7,3,8,8,Apply (Uygulama) - Seviye 3,8,715
5,8,3,7,7,Apply (Uygulama) - Seviye 3,7,716
8,5,7,7,7,Apply (Uygulama) - Seviye 3,7,717
8,7,4,7,7,Apply (Uygulama) - Seviye 3,8,718
8,8,2,7,8,Apply (Uygulama) - Seviye 3,7,719
7,6,5,8,8,Apply (Uygulama) - Seviye 3,8,720
6,8,2,7,8,Evaluate (Değerlendirme) - Seviye 5,7,721
6,8,3,6,6,Evaluate (Değerlendirme) - Seviye 5,8,722
10,6,5,6,7,Evaluate (Değerlendirme) - Seviye 5,6,723
8,6,6,9,8,Evaluate (Değerlendirme) - Seviye 5,8,724
5,6,4,7,7,Evaluate (Değerlendirme) - Seviye 5,7,725
7,6,6,8,6,Evaluate (Değerlendirme) - Seviye 5,6,726
9,5,3,5,6,Create (Yaratma) - Seviye 6,7,727
5,7,1,6,6,Create (Yaratma) - Seviye 6,7,728
6,9,1,7,7,Create (Yaratma) - Seviye 6,7,729
10,5,5,5,6,Create (Yaratma) - Seviye 6,5,730
5,9,4,8,8,Create (Yaratma) - Seviye 6,8,731
8,6,1,6,7,Create (Yaratma) - Seviye 6,5,732
7,6,6,9,9,Apply (Uygulama) - Seviye 3,9,733
7,4,3,7,6,Apply (Uygulama) - Seviye 3,6,734
8,8,7,6,8,Apply (Uygulama) - Seviye 3,7,735
5,9,3,7,8,Apply (Uygulama) - Seviye 3,7,736
6,6,6,8,7,Apply (Uygulama) - Seviye 3,9,737
4,8,2,7,7,Apply (Uygulama) - Seviye 3,6,738
7,6,3,7,9,Analyze (Analiz) - Seviye 4,7,739
8,5,2,7,7,Analyze (Analiz) - Seviye 4,7,740
7,9,5,7,8,Analyze (Analiz) - Seviye 4,7,741
9,7,3,7,6,Analyze (Analiz) - Seviye 4,6,742
8,8,3,9,8,Analyze (Analiz) - Seviye 4,8,743
7,6,5,7,7,Analyze (Analiz) - Seviye 4,6,744
9,8,4,7,8,Apply (Uygulama) - Seviye 3,7,745
6,7,1,7,7,Apply (Uygulama) - Seviye 3,8,746
7,5,4,9,8,Apply (Uygulama) - Seviye 3,7,747
8,5,4,7,7,Apply (Uygulama) - Seviye 3,7,748
7,7,4,8,9,Apply (Uygulama) - Seviye 3,7,749
5,5,4,8,8,Apply (Uygulama) - Seviye 3,8,750
7,4,6,8,8,Evaluate (Değerlendirme) - Seviye 5,8,751
8,8,4,6,7,Evaluate (Değerlendirme) - Seviye 5,8,752
6,9,5,7,7,Evaluate (Değerlendirme) - Seviye 5,6,753
7,3,5,8,6,Evaluate (Değerlendirme) - Seviye 5,8,754
1,7,4,8,7,Evaluate (Değerlendirme) - Seviye 5,8,755
6,8,3,6,8,Evaluate (Değerlendirme) - Seviye 5,8,756
7,7,2,7,5,Create (Yaratma) - Seviye 6,5,757
8,8,4,6,5,Create (Yaratma) - Seviye 6,6,758
4,5,5,6,7,Create (Yaratma) - Seviye 6,7,759
3,8,2,5,7,Create (Yaratma) - Seviye 6,7,760
5,8,3,7,6,Create (Yaratma) - Seviye 6,5,761
7,7,4,6,6,Create (Yaratma) - Seviye 6,6,762
5,8,5,8,7,Understand (Anlama) - Seviye 2,6,763
5,9,3,9,9,Understand (Anlama) - Seviye 2,9,764
6,9,5,8,8,Understand (Anlama) - Seviye 2,7,765
7,2,8,7,7,Understand (Anlama) - Seviye 2,6,766
10,8,5,8,7,Understand (Anlama) - Seviye 2,8,767
5,6,2,8,8,Understand (Anlama) - Seviye 2,8,768
6,10,6,7,6,Evaluate (Değerlendirme) - Seviye 5,6,769
5,4,4,9,7,Evaluate (Değerlendirme) - Seviye 5,8,770
9,5,4,8,6,Evaluate (Değerlendirme) - Seviye 5,7,771
9,7,5,7,7,Evaluate (Değerlendirme) - Seviye 5,6,772
6,5,4,6,6,Evaluate (Değerlendirme) - Seviye 5,6,773
8,6,2,8,8,Evaluate (Değerlendirme) - Seviye 5,7,774
5,7,2,6,8,Understand (Anlama) - Seviye 2,8,775
7,5,4,8,8,Understand (Anlama) - Seviye 2,8,776
9,10,4,6,6,Understand (Anlama) - Seviye 2,7,777
6,6,4,8,9,Understand (Anlama) - Seviye 2,8,778
3,10,5,6,8,Understand (Anlama) - Seviye 2,7,779
9,9,1,6,8,Understand (Anlama) - Seviye 2,6,780
8,5,2,8,7,Analyze (Analiz) - Seviye 4,9,781
9,8,5,6,7,Analyze (Analiz) - Seviye 4,6,782
8,7,5,6,6,Analyze (Analiz) - Seviye 4,7,783
7,6,3,8,7,Analyze (Analiz) - Seviye 4,8,784
9,10,4,8,7,Analyze (Analiz) - Seviye 4,9,785
4,9,4,7,8,Analyze (Analiz) - Seviye 4,8,786
6,8,6,7,6,Understand (Anlama) - Seviye 2,7,787
10,3,5,6,8,Understand (Anlama) - Seviye 2,7,788
7,8,9,8,9,Understand (Anlama) - Seviye 2,8,789
6,4,3,8,6,Understand (Anlama) - Seviye 2,6,790
7,5,3,7,7,Understand (Anlama) - Seviye 2,6,791
6,7,3,7,7,Understand (Anlama) - Seviye 2,8,792
5,6,1,7,8,Understand (Anlama) - Seviye 2,7,793
6,9,4,8,6,Understand (Anlama) - Seviye 2,8,794
8,8,8,6,6,Understand (Anlama) - Seviye 2,8,795
7,8,1,9,7,Understand (Anlama) - Seviye 2,9,796
8,3,4,6,7,Understand (Anlama) - Seviye 2,6,797
7,7,3,6,6,Understand (Anlama) - Seviye 2,6,798
6,6,5,8,6,Analyze (Analiz) - Seviye 4,6,799
6,7,6,6,7,Analyze (Analiz) - Seviye 4,7,800
6,8,1,8,7,Analyze (Analiz) - Seviye 4,7,801
8,7,6,8,8,Analyze (Analiz) - Seviye 4,7,802
5,9,7,7,8,Analyze (Analiz) - Seviye 4,7,803
5,4,3,8,6,Analyze (Analiz) - Seviye 4,7,804
5,5,4,7,7,Apply (Uygulama) - Seviye 3,7,805
7,8,4,6,7,Apply (Uygulama) - Seviye 3,6,806
7,6,8,6,6,Apply (Uygulama) - Seviye 3,8,807
7,10,3,8,8,Apply (Uygulama) - Seviye 3,6,808
6,6,4,6,6,Apply (Uygulama) - Seviye 3,8,809
7,7,4,7,6,Apply (Uygulama) - Seviye 3,8,810
7,8,5,6,8,Evaluate (Değerlendirme) - Seviye 5,6,811
8,9,3,7,9,Evaluate (Değerlendirme) - Seviye 5,9,812
6,8,4,7,7,Evaluate (Değerlendirme) - Seviye 5,8,813
6,5,4,8,7,Evaluate (Değerlendirme) - Seviye 5,6,814
5,7,1,8,7,Evaluate (Değerlendirme) - Seviye 5,7,815
8,6,3,8,8,Evaluate (Değerlendirme) - Seviye 5,8,816
5,8,7,6,6,Analyze (Analiz) - Seviye 4,7,817
7,7,3,7,7,Analyze (Analiz) - Seviye 4,6,818
3,6,4,6,7,Analyze (Analiz) - Seviye 4,7,819
7,8,3,7,6,Analyze (Analiz) - Seviye 4,7,820
6,5,5,9,8,Analyze (Analiz) - Seviye 4,9,821
8,10,5,7,6,Analyze (Analiz) - Seviye 4,7,822
5,6,4,8,6,Analyze (Analiz) - Seviye 4,8,823
6,6,2,8,9,Analyze (Analiz) - Seviye 4,8,824
5,10,2,7,6,Analyze (Analiz) - Seviye 4,6,825
8,10,5,8,6,Analyze (Analiz) - Seviye 4,7,826
10,4,6,8,6,Analyze (Analiz) - Seviye 4,7,827
5,8,5,6,7,Analyze (Analiz) - Seviye 4,8,828
7,5,3,6,6,Understand (Anlama) - Seviye 2,7,829
5,6,3,8,8,Understand (Anlama) - Seviye 2,7,830
5,7,4,8,6,Understand (Anlama) - Seviye 2,8,831
6,4,5,8,8,Understand (Anlama) - Seviye 2,7,832
8,6,5,8,7,Understand (Anlama) - Seviye 2,7,833
7,6,5,7,8,Understand (Anlama) - Seviye 2,8,834
9,6,5,9,8,Analyze (Analiz) - Seviye 4,9,835
5,9,3,7,7,Analyze (Analiz) - Seviye 4,7,836
7,6,3,6,6,Analyze (Analiz) - Seviye 4,6,837
8,7,2,8,7,Analyze (Analiz) - Seviye 4,7,838
9,5,4,8,8,Analyze (Analiz) - Seviye 4,6,839
6,6,5,7,7,Analyze (Analiz) - Seviye 4,6,840
7,6,4,8,6,Apply (Uygulama) - Seviye 3,6,841
6,7,6,8,7,Apply (Uygulama) - Seviye 3,7,842
5,6,5,6,6,Apply (Uygulama) - Seviye 3,6,843
6,6,6,7,6,Apply (Uygulama) - Seviye 3,6,844
7,8,4,7,8,Apply (Uygulama) - Seviye 3,8,845
8,4,2,7,8,Apply (Uygulama) - Seviye 3,6,846
5,6,1,7,6,Understand (Anlama) - Seviye 2,7,847
9,5,2,8,7,Understand (Anlama) - Seviye 2,8,848
8,10,1,8,8,Understand (Anlama) - Seviye 2,7,849
6,5,6,8,7,Understand (Anlama) - Seviye 2,7,850
4,4,1,8,8,Understand (Anlama) - Seviye 2,8,851
7,4,5,8,7,Understand (Anlama) - Seviye 2,8,852
6,8,4,9,9,Analyze (Analiz) - Seviye 4,9,853
9,6,5,6,7,Analyze (Analiz) - Seviye 4,8,854
8,6,5,8,6,Analyze (Analiz) - Seviye 4,6,855
5,7,2,8,7,Analyze (Analiz) - Seviye 4,7,856
8,9,4,6,6,Analyze (Analiz) - Seviye 4,8,857
